tweet,label
otak kalau memang sudah bodoh mau diajak bicara kemanapun selalu dia yang mau menang di ke kiri kita ke kanan kita salah sebaliknya juga kita yang salah selalu kecuali kita ikut dia baru benar tapi kadang itupun kalau ada masalah juga kita yang disalahin serah kamu deh,anger
sesuatu yang benar akan tetap benar meski sedikit yang mengamalkannya sesuatu yang salah akan tetap salah meski berbondong bondong orang mengamalkannya ya muqollibal qulub tsabbit qolbi alaa diinik,happy
apabila kamu sudah tidak dianggap ada jangan merasa bahwa kamu itu invisible tapi merasalah intangible seenggaknya kamu tetap berharga meskipun tidak berwujud skripsibaper kapanmarin  eeyaallah,sadness
berharap saya ke dokter dikasih salep buat yang lebam biru ee  bahkan dkshnya obat nyeri tablet vitamin padahal tensi darah saya normal tetap saja salep mah tidak dikasih sama dokternya,sadness
terus jadi tiba tiba kangen dipanggil nama kecil karena sudah lama sekali tidak dengar dipanggil dia kangen wkwk terakhir jaman sama sih ada teman teman yang sok akrab panggil begitu geli tapi sekarang bahkan kangen,happy
terlepas dari pengalaman yang kurang mengasyikan di stadion kami harus berterima kasih yang sebesar besarnya kepada warga bantul amp,happy
hu  sayang gu  kok jadi melow begini si  cinta kamu   h cinta sok much saya beruntung sih bisa jumpa sama kamu my sweetie,love
sukadeh sama teman yang ngetweet konten yang berwawasan apalagi di dunia nyata bisa share ilmu jadi nyinyiran kritikan bisa lebih bermanfaat apalagi kalau menyambung mengomongnya tidak cuma bahas lamtur lipen saja,happy
jika kamu suatu saat besar nanti mungkin kamu akan lebih mengerti tapi untuk sekarang kamu hanya cukup menjadi pendengar yang baik saja saya dan ibu mu sudah hampir tahun tidak bertegur sapa alasannya karena keegoisanku yang membuat hubungan kami semakin menjauh saya adalah seseorang yang sangat egois,sadness
persahabatan itu tidak perlu filosopi tidak memiliki nilai dalam hidup akan tetapi itulah yang memberikan nilai untuk kelangsungan hidup bahagia friendship day,happy
lindungilah rakyat ind dari penguasa yang dzalim iya allah penguasa semesta kami yakin engkau pasti akan menghancurkan orang orang yang dzalim,fear
jebakan kacung mu harus imam besar bagi umat muslim tokoh agama prabowo mlkukan konsultasi keagamaan apanya yang turun kelas kelas bulu apa kelas bantam alkafirun jelas tidak paham aplg politisi kelas ecek modalnya fitnah maki nyinyir cuma itu,anger
bahagia anniversary bulan iya sayang semoga allah swt mengasih kita rezeki yang banyak biar kita bisa cepat naik ke pelaminan menjadi keluarga sakinah mawadah warohmah,love
