label,tweet
sadness,dulu saya buat pacaran isinya foto selfie dan aktivitas pacar penunjang ldr sekarang pacarnya hilang foto foto diganti sama foto pencitraan orang kerja di lapangan dan preview desain
sadness,apa bedanya dirimu yang selalu berdiam berlama pergi jauh dan mengabaikan saat permasalahan datang dengan pernyataan ku yang mengakhiri thinkifyouhavebrain
love,karena cinta yang sesungguhnya berasal dari hati di rasakan oleh hati di ungkapkan lewat hati yang di terjemahkan ke dalam setiap bait bait puisi
happy,terima kasih ya buat kakak dijakarta dan surabaya yang sudah luangin waktunya buat meetup hehehehee sok sekarang saatnya off sampai ketemu akhir bulan iya di balikpapan dan denpasar gbu all
sadness,sebagai manusia saya bisa saja salah saat melihat manusia lain saya cuma sedang melihat diriku sendiri sebenarnya jadi saya meminta maaf iya shan seperti yang biasa saya lakukan
happy,oke terima kasih
fear,gempa di lombok belum berhenti setidaknya sudah dua ratusan lebih terjadi gempa susulan sejak pagi kemarin terus saya bayangkan bagaimana rasanya jadi rangorang yang ada di sana sekarang pasti tidak nyenyak tidurnya karena cemas
love,cinta sejati adalah ketika dia mencintai orang lain dan kamu masih mampu tersenyum sambil berkata saya turut bahagia untukmu jika kita mencintai seseorang
happy,angka akan segera digantikan dengan angka baru we e tahu semoga angka angka yang sudah berlalu dan yang akan berlalu menjadi cermin dan pelajaran yang baik untuk menyongsong masa depan yang lebih baik berharap kebahagiaan dan kedamaian menyertai angka baru ini
happy,tranquility base hotel casino arctic monkeys hampir serupa sama album sama yang kemarin lagu nya intimidating sama seducing tapi yang sekarang vibe nya si italian vampire gangster wkwk saya suka four out of five batphone sama golden trunks
anger,yaelahh anda pasti dari partai sapi kurang kelon anda junjungan anda kagak punya nyali kalah sama ahok berani hadapi kasus lebaran telah tiba jik pulanglah atau kagak ada peler
happy,empat negara tersisa di perhelatan turnamen akbar memiliki taktik kunci masing masing jamak yang berharap ada juara baru di fifa world cup terutama belgia yang dianggap sebagai tim percontohan bonus demografi dan saya hanya ingin ucapkan selamat pada pep itu saja
anger,ini kalau kita yang pose dengan atribut demikian bakal di laknat se indonesia di kata komunis liberal antek aseng cc
happy,he yamungkin memang tidak kerasa karena sudah kayak thanos benar punya batu cincin terima kasih l  sudah diucapin sahur
sadness,ternyata saya masih terjebak di ujian yang sama ujian merindukanmu yang bukan siapa kerinduan yang menguji karena tidak bisa bertindak apa perlu kamu tahu dalam hal ini yang ku maksud kamu cukup menguras hati
sadness,ketika di group keluarga sudah pada membicarakan mudik duuh ingin mudik tapi apa daya suami libur cuma hari dari hari h lebaran itu juga kalau tidak di telepon disuruh masuk tahun lalu bahkan habis sholat eid langsung kerja
happy,pembayaran upah pkt ds madurejo pasirian lumajang masyarakat tersenyum bahagia padatkaryatunai tppijatim tppilumajang
happy,hari ini saya begitu menikmati sendiriku dengan maraton drakor dan about time ini mengajariku bagaimana caranya di sisa hidup kalian bisa menghargai bagian bagian terkecil yang sering kalian tidak sadari telah kalian acuhkan orang yang kalian sayang contohnya
happy,di hari ini iya tepat di tanggal juli dimana mungkin di hari ini saya merasa sangatsangat special terima kasih mamih terima kasih uwa terima kasih kakek terima kasih
sadness,iphone plus tiba tiba restart sendiri terus kadang kadang bootloop tidak masuk ke system dimatikan agak lama baru kadang bisa masuk system kenapa bruh
happy,sukadeh sama teman yang ngetweet konten yang berwawasan apalagi di dunia nyata bisa share ilmu jadi nyinyiran kritikan bisa lebih bermanfaat apalagi kalau menyambung mengomongnya tidak cuma bahas lamtur lipen saja
anger,pak ini asli loh pak bukan editan om sesekali dong kupas persoalan di wilayah kami kok bisa bisa nya hukum dan keselamatan warga parungpanjang di nomor sekiankan siapa sih om yang bermain di sini
happy,dulu mah kalau mau sms dosen harus sekali memikirkan kata kata biar sopan takut salah mengomong pas sudah lulus mah sudah kayak teman saja sih wkwkw bagaimana ketua kelas
sadness,kita tidak bisa mengatur otak orang menjaga hati orang disaat ada yang berniat menghasut orang untuk membenci kita dan berhasil iya sudah terima saja kalau yang terhasut tidak layak untuk lebih lama jadi teman
anger,bullshit mereka semua rakyat yang akan sebagai penentu nasib indonesia bukan pada para tokoh elit maupun tokoh partai politik tapi ada pada kekuatan rakyat
love,ibarat saya datang baik dengan buku dan pulpen saya keluar hanya membawa buku itu saja lantas pulpen itu saya tinggalkan dengan dirinya untuk dijadikan alat tulis baru dirinya dengan yang akan datang untuk bertamu di hari nanti
happy,saya bikin charity free iftar ini the hospital bareng teman teman alumni al azhar menganti gresik gerakan kasih menu buka puasa buat keluarga pasien di rumah sakit kita tambahkan dengan senyum dan saling doain sesuai kewajiban kita sebagai muslim masih terima donasi iya rek
happy,wuih cada s teman kantor yang odp hari ini sudah terbebas dari denda ikatan dinas tahunnya mantap kali kita harus menunggu tahun depan
love,adalah bapak yang setia mendampingi ibu adalah bapak yang terus berusaha melucu bikin ibu ketawa adalah bapak yang masih menganggap anak tahun ini masih kecil adalah bapak yang paling cemburu ketika ada laki datang ke gadisnya luar biasa iya cinta sekali bapak
sadness,kenapa sekarang bisa beda sekali sama pas sama iya di tanah rantau benar benar sadar kalau tidak semua orang itu bahagia enggak semua orang itu tulus
love,kan kupeluk engkau erat hingga tidak ada seorang pun yang bisa merebut mu dari pelukan ku bahagia anniversary sayang nov months
happy,tidak perlu terobsesi untuk punya pacar gapenting masih tahun juga santai aj a dd kalau kamu tidak mau meninggalkan bahkan cowok yang lebih baik tidak ada yang bisa dekati kamu mbak di
fear,pakdok ada komentar mengenai efek masing ke otak seringkali dengar celotehan kalau orang jadi sengklek gara gara kakehan micin
